store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,country_uk,itl1_code,itl1_name,lad_code,lad_name,msoa_code,msoa_name,lsoa_code,lsoa_name,coord_source,geo_source,overture_id,confidence
ovt:2018cd01-fa3b-474d-a057-9951642edf68,,https://www.booker.co.uk,Booker Cambridge,open,7 Coldhams Grove,Cambridge,Cambridgeshire,,East of England,CB1 3HW,GB,52.19576505,0.16734332,Europe/London,Booker,,01223244725,England,E12000006,East of England,E07000008,Cambridge,E02003727,Cambridge 009,E01017999,Cambridge 009C,overture,postcodes.io,2018cd01-fa3b-474d-a057-9951642edf68,0.9995
ovt:bdd3d94e-e356-4b1c-af93-d8000d963234,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Cardiff (Leckwith),open,"Industrial Estate, Hadfield Road Leckwith",Cardiff,,,Wales,CF11 8AQ,GB,51.46931435,-3.20789198,Europe/London,Booker,,02920394747,Wales,W92000004,Wales,W06000015,Cardiff,W02000412,Cardiff 046,W01001759,Cardiff 046A,overture,postcodes.io,bdd3d94e-e356-4b1c-af93-d8000d963234,0.8704
ovt:3e3de9c7-da48-4756-a5a9-2e9eed8a1a79,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Cardiff,open,"excelsior industrial estate, Batchelor Rd",Cardiff,,,Wales,CF14 3AX,GB,51.50063145,-3.20311523,Europe/London,Booker,,02920520120,Wales,W92000004,Wales,W06000015,Cardiff,W02000391,Cardiff 025,W01001756,Cardiff 025B,overture,postcodes.io,3e3de9c7-da48-4756-a5a9-2e9eed8a1a79,0.9787
ovt:97b71899-113a-448d-9c2b-fc716d707447,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Uhw Cardiff,open,"M&S, Unit1, UHW, Main Entrance",Cardiff,,,Wales,CF15 7SR,GB,51.55756884,-3.2703427,Europe/London,Booker,,01443846621,Wales,W92000004,Wales,W06000016,Rhondda Cynon Taf,W02000277,Rhondda Cynon Taf 026,W01001240,Rhondda Cynon Taf 026C,overture,postcodes.io+reverse,97b71899-113a-448d-9c2b-fc716d707447,0.8940
ovt:d2ae5983-e4bf-485c-a314-f998d2285edd,,https://www.booker.co.uk/branch-locator/cardiff/unit-1-heol-y-pwll,Makro Cardiff,open,"Unit 1, Heol Y Pwll, Parc Nantgarw",Cardiff,,,Wales,CF15 7QW,GB,51.5575641,-3.2703421,Europe/London,Makro,,,Wales,W92000004,Wales,W06000016,Rhondda Cynon Taf,W02000277,Rhondda Cynon Taf 026,W01001240,Rhondda Cynon Taf 026C,overture,postcodes.io,d2ae5983-e4bf-485c-a314-f998d2285edd,0.4000
ovt:f55ae08d-27c3-4214-991a-21e6db0d146e,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Merthyr Tydfil,open,"Unit 35, Merthyr Tydfil Industrial Park",Merthyr Tydfil,,,Wales,CF48 4DR,GB,51.72034537,-3.35427354,Europe/London,Booker,,01443690449,Wales,W92000004,Wales,W06000024,Merthyr Tydfil,W02000288,Merthyr Tydfil 006,W01001312,Merthyr Tydfil 006E,overture,postcodes.io,f55ae08d-27c3-4214-991a-21e6db0d146e,0.9813
ovt:14ae3b8a-8866-4c45-a236-b8f635b76f0b,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Chester,open,"Gates, Dunkirk Trading Estate",Lea-by-Backford,,,North West,CH1 6LT,GB,53.24601458,-2.9346692,Europe/London,Booker,,01244851841,England,E12000002,North West,E06000050,Cheshire West and Chester,E02003795,Cheshire West and Chester 025,E01018360,Cheshire West and Chester 025A,overture,postcodes.io,14ae3b8a-8866-4c45-a236-b8f635b76f0b,0.9972
ovt:4050ddaf-85f4-492b-84d4-0566421ab6f9,,http://www.booker.co.uk,Booker Birkenhead,open,"Union St, New Chester Rd",Birkenhead,,,North West,CH42 3TL,GB,53.37874461,-3.01302866,Europe/London,Booker,,01516452193,England,E12000002,North West,E08000015,Wirral,E02001493,Wirral 027,E01007293,Wirral 027C,overture,postcodes.io,4050ddaf-85f4-492b-84d4-0566421ab6f9,0.9710
ovt:055961fa-981e-4153-a8a7-a43cf82b556d,,http://www.booker.co.uk,Booker Chelmsford,open,6 Hanbury Road,Chelmsford,Essex,,East of England,CM1 3AE,GB,51.7256005,0.44706271,Europe/London,Booker,,01245251301,England,E12000006,East of England,E07000070,Chelmsford,E02004493,Chelmsford 009,E01033138,Chelmsford 009F,overture,postcodes.io,055961fa-981e-4153-a8a7-a43cf82b556d,0.9944
ovt:814339ae-7c68-4eac-9db8-998fe29e9736,,https://www.booker.co.uk,Booker North Weald-Epping,open,"North Weald Industrial Estate, Hurricane Way",Epping,Essex,,East of England,CM16 6AA,GB,51.71393867803,0.15653847448275,Europe/London,Booker,,01992524121,England,E12000006,East of England,E07000072,Epping Forest,E02004527,Epping Forest 001,E01021799,Epping Forest 001E,overture,postcodes.io,814339ae-7c68-4eac-9db8-998fe29e9736,0.9991
