store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
f554,,https://www.aldi.us/stores/l/oh/upper-arlington/3280-tremont-road/f554,ALDI 3280 Tremont Road,open,3280 Tremont Road,Upper Arlington,,Ohio,OH,43221,US,40.0237,-83.0578,America/New_York,,,,39,39049,39049006430,390490064304000,18140,198,ceo,census
fe66,,https://www.aldi.us/stores/l/pa/philadelphia/3500-aramingo-avenue/fe66,ALDI 3500 Aramingo Avenue,open,3500 Aramingo Avenue,Philadelphia,,Pennsylvania,PA,19134,US,39.993,-75.1017,America/New_York,,,,42,42101,42101038200,421010382001016,37980,428,ceo,census
fc37,,https://www.aldi.us/stores/l/ca/coachella/50180-cesar-chavez-street/fc37,ALDI 50180 Cesar Chavez Street,open,50180 Cesar Chavez Street,Coachella,,California,CA,92236,US,33.6831,-116.1802,America/Los_Angeles,,,,06,06065,06065045707,060650457071006,40140,348,ceo,fcc
fa46,,https://www.aldi.us/stores/l/fl/fort-pierce/1412-s-us-highway-one/fa46,ALDI 1412 S. US Highway One,open,1412 S. US Highway One,Fort Pierce,,Florida,FL,34950,US,27.4325,-80.3254,America/New_York,,,,12,12111,12111380500,121113805001011,38940,370,ceo,fcc
f599,,https://www.aldi.us/stores/l/il/crestwood/4820-cal-sag-rd/f599,ALDI 4820 Cal Sag Rd,open,4820 Cal Sag Rd,Crestwood,,Illinois,IL,60418,US,41.6546,-87.7399,America/Chicago,,,,17,17031,17031823602,170318236021001,16980,176,ceo,fcc
f531,,https://www.aldi.us/stores/l/oh/grove-city/2398-stringtown-rd/f531,ALDI 2398 STRINGTOWN RD,open,2398 STRINGTOWN RD,Grove City,,Ohio,OH,43123,US,39.8806,-83.0689,America/New_York,,,,39,39049,39049009756,390490097561011,18140,198,ceo,census
f851,,https://www.aldi.us/stores/l/ny/hamburg/5999-south-park-ave/f851,ALDI 5999 South Park Ave.,open,5999 South Park Ave.,Hamburg,,New York,NY,14075,US,42.7328,-78.8265,America/New_York,,,,36,36029,36029013202,360290132021015,15380,160,ceo,census
l955,,https://www.aldi.us/stores/l/ga/statesboro/270-henry-blvd/l955,ALDI 270 Henry Blvd,open,270 Henry Blvd,Statesboro,,Georgia,GA,30458,US,32.4301,-81.7586,America/New_York,,,,13,13031,13031110500,130311105002043,44340,496,ceo,census
fo81,,https://www.aldi.us/stores/l/mn/pine-city/100-evergreen-sq-sw/fo81,ALDI 100 Evergreen SQ SW,open,100 Evergreen SQ SW,Pine City,,Minnesota,MN,55063,US,45.8188,-92.9801,America/Chicago,,,,27,27115,27115950700,271159507003013,,,ceo,census
fg09,,https://www.aldi.us/stores/l/in/fort-wayne/10511-dupont-oaks-blvd/fg09,ALDI 10511 Dupont Oaks Blvd,open,10511 Dupont Oaks Blvd,Fort Wayne,,Indiana,IN,46845,US,41.1807,-85.0863,America/Indiana/Indianapolis,,,,18,18003,18003010304,180030103041028,23060,258,ceo,fcc
fb49,,https://www.aldi.us/stores/l/ca/santa-maria/425-betteravia-road/fb49,ALDI 425 E Betteravia Rd,open,425 Betteravia Road,Santa Maria,,California,CA,93454,US,34.9254,-120.4268,America/Los_Angeles,,,,06,06083,06083002103,060830021033018,42200,,ceo,census
